,question,label
150,what is the daily requirement of folic acid for an expectant mother ? ,what
151,what is the `` 7-minute cigarette '' ? ,what
152,what four forms does gold occur in ? ,what
153,what is the acreage of the chappellet vineyard ? ,what
154,when did beethoven die ? ,when
155,what two european countries entered the war of american independence against the british ? ,what
156,what is the filmmakers collabrative ? ,what
157,what russian composer 's prelude in c sharp minor brought him fame and fortune ? ,what
158,what caused harry houdini 's death ? ,what
159,what is the name of the tallest mountain in the world ? ,what
160,what 's the slowest olympic swimming stroke ? ,what
161,what was the name of the first russian astronaut to do a spacewalk ? ,what
162,what disease is transmitted by the anopheles mosquito ? ,what
163,what rum is so `` mixable '' it is a one-brand bar ? ,what
164,what is the contents of proposition 98 ? ,what
165,who wrote nn dt nnp nnp '' ? ,who
166,what is paracetamol ? ,what
167,what are the powers and weaknesses of green lantern 's ring ? ,what
168,when was the first steel mill in the united states built ? ,when
169,what diminutive american female gymnast stole the show at the 1984 olympics ? ,what
170,what is the origin of the name katie ? ,what
171,who is terrence malick ? ,who
172,what instrument is ray charles best known for playing ? ,what
173,what is the mascot for notre dame university ? ,what
174,when did mount st. helen last have a significant eruption ? ,when
175,cnn is the abbreviation for what ? ,what
176,when did world war i start ? ,when
177,what is a canada two-penny black ? ,what
178,what european city do nicois live in ? ,what
179,what is the classic definition of tragic hero ? ,what
180,to what does microsoft 's windows 3 owe its success ? ,what
181,who was president of afghanistan in 1994 ? ,who
182,what did brontosauruses eat ? ,what
183,what color bottles do good rhine wines come in ? ,what
184,who was the lead actress in the movie ` sleepless in seattle ' ? ,who
185,who was the 16th president of the united states ? ,who
186,who are the two sons of ozzie and harriet nelson ? ,who
187,what is molybdenum ? ,what
188,when is boxing day ? ,what
189,what is the lowest level of the american judiciary ? ,what
190,when was the battle of the somme fought ? ,when
191,what 's the official animal of canada ? ,what
192,when did spielberg direct `` jaws '' ? ,when
193,what is the size of the largest akita ? ,what
194,what animal has the biggest eyes ? ,what
195,what is california 's capital ? ,what
196,who was the author of the book about computer hackers called `` the cuckoo 's egg : tracking a spy through the maze of computer espionage '' ? ,who
197,who was the founding member of the pink floyd band ? ,who
198,what european country is home to the beer-producing city of budweis ? ,what
199,what is the history of valentine 's day cards ? ,what
200,what do italians call florence ? ,what
201,what does ` psi ' stand for ? ,what
202,what sea did the romans call mare nostrum ? ,what
203,what 's the term for a bet before cards are dealt ? ,what
204,what city did the flintstones live in ? ,what
205,what is latin for incompetent ? ,what
206,what chemicals are used in lethal injection ? ,what
207,what toy company is the world 's no.1 maker of female apparel ? ,what
208,what board game does a `` wood-pusher '' play poorly ? ,what
209,what is the abbreviation for micro ? ,what
210,what are the 7 articles of the constitution ? ,what
211,who has won the most super bowls ? ,who
212,what does nasdaq stand for ? ,what
213,what is bph ? ,what
214,what is the fastest commercial automobile that can be bought in the us ? ,what
215,what stadium do the miami dolphins play their home games in ? ,what
216,who has the only speaking role in `` silent movie '' ? ,who
217,what was einstein 's iq ? ,what
218,what day was pearl harbor attacked in 1942 ? ,what
219,what girl 's name is `` teddy '' an affectionate form of ? ,what
220,what state is john f. kennedy buried in ? ,what
221,what is the best way to remove wallpaper ? ,what
222,what u.s. state has an element named for it ? ,what
223,what company tabulates the ballots in voting for the academy awards ? ,what
224,what is the deepest area of the arctic ocean ? ,what
225,what are halloween 's colors ? ,what
226,who made a boat out of gopher wood ? ,who
227,what is the normal resting heart rate of a healthy adult ? ,what
228,what is the population of ohio ? ,what
229,hazmat stands for what ? ,what
230,what creature scares people in the film `` jaws '' ? ,what
231,what part did john peter zenger play in the deveopment of the newspaper in america ? ,what
232,who followed caesar ? ,who
233,what are the four elements ? ,what
234,who was the first woman golfer to earn a million ? ,who
235,what 's the tallest piece on a chessboard ? ,what
236,what is answers.com 's address ? ,what
237,who does the advertizing for frito-lay ? ,who
238,who is the leading competitor of trans union company ? ,who
239,what product did robert conrad dare people to knock off his shoulder ? ,what
240,who invented the radio ? ,who
241,what 's the american dollar equivalent for 8 pounds in the u.k. ? ,what
242,what are the different approaches of systems analysis ? ,what
243,what is the speed of the mississippi river ? ,what
244,what are the developmental stages of a swimmer ? ,what
245,what actor first portrayed james bond ? ,what
246,what ocean is the largest in the world ? ,what
247,what year did jack nicklaus join the professional golfers association tour ? ,what
248,what causes the redness in your cheeks when you blush ? ,what
249,who won the nobel peace prize in 1991 ? ,who
250,who are the challengers of the unknown ? ,who
251,what does it mean `` rupee depreciates '' ? ,what
252,what gaming devices were dubbed `` mississippi marbles '' and `` memphis dominoes '' ? ,what
253,who was the first coach of the cleveland browns ? ,who
254,what jewish holiday saw the start of the 1973 mideast war ? ,what
255,what is the speed of the mississippi river ? ,what
256,who said of super bowl iii in 1969 : `` we 'll win- i guarantee it '' ? ,who
257,what is dudley do-right 's horse 's name ? ,what
258,who declared : `` i am down on whores and i shan 't stop ripping them '' ? ,who
259,what tv game show once saw a contestant admit to picking his toes in the shower ? ,what
260,what soviet leader owned a rolls-royce ? ,what
261,what war did florence nightingale tend the troops in ? ,what
262,who is the only prime minister of canada to serve 22 years but not necessarily consecutively ? ,who
263,what is the abbreviation of the company name ` general motors ' ? ,what
264,what mountains lie between the arkansas and missouri rivers ? ,what
265,who received the will rogers award in 1989 ? ,who
266,what is the function of ram ? ,what
267,what 's the closest g2 spectrum yellow dwarf to earth ? ,what
268,what is the fear of cockroaches called ? ,what
269,what cbs soap opera was interrupted by the bulletin of john f. kennedy 's assassination ? ,what
270,what is the use of a 24-hour clock instead of a 12-hour clock ? ,what
271,what was the name of the lawyer who represented randy craft ? ,what
272,what united states president had dreamed that he was assassinated ? ,what
273,what film did lee marvin win the 1965 best actor oscar for ? ,what
274,what product does `` mrs. olsen '' promote ? ,what
275,what time of day did emperor hirohito die ? ,when
276,what is dry ice ? ,what
277,what 's the most powerful card in euchre ? ,what
278,what does `` intractable plantar keratoma '' mean ? ,what
279,what crop failure caused the irish famine ? ,what
280,what south korean city is served by kimpo international airport ? ,what
281,what is the longest-running television series ? ,what
282,what predators exist on antarctica ? ,what
283,what is the difference between a generator and an alternator ? ,what
284,what beer advertised that it had `` three rings '' ? ,what
285,what is the quantity of american soldiers still unaccounted for from the vietnam war ? ,what
286,what golfing accessory was patented by george grant on december 12 ? ,what
287,what are the different types of plastic ? ,what
288,what was the highest mountain on earth before mount everest was discovered ? ,what
289,what country 's people are the top television watchers ? ,what
290,when was the women 's suffrage amendment ratified ? ,when
291,what polynesian people inhabit new zealand ? ,what
292,what movie tour of the roman empire features the admonition : `` row well and live '' ? ,what
293,what nevada center has been dubbed the biggest little city in the world ? ,what
294,what is the difference between classical conditioning and operant conditioning ? ,what
295,what are some interesting facts and information about dogsledding ? ,what
296,what year did hitler die ? ,when
297,what famous model was married to billy joel ? ,what
298,what kind of animal is babar ? ,what
299,what is jane goodall known for ? ,what
300,what killed bob marley ? ,what
301,who danced into stardom with fred astaire in 1941 's you 'll never get rich ? ,who
302,who is stein eriksen ? ,who
303,what does the name billie mean ? ,what
304,who is the fastest swimmer in the world ? ,who
305,what is the highest peak in africa ? ,what
306,what desert has been called the garden of allah ? ,what
307,what do bicornate animals have two of ? ,what
308,what function does a community 's water tower serve ? ,what
309,what is a fear of weakness ? ,what
310,what does g.m.t. stand for ? ,what
311,what does inuit and eskimo mean ? ,what
312,what song served as the closing theme of the johnny cash show ? ,what
313,what field sport did dentist william beers promote and write a standard book of rules for ? ,what
314,when does the average teenager first have intercourse ? ,when
315,what actor 's autobiography is titled all my yesterdays ? ,what
316,what russian master spy lived in the u.s. under the name emil goldfus ? ,what
317,what 's nature 's purpose for tornadoes ? ,what
318,who played the original charlie 's angels ? ,who
319,what musical instrument did prewitt play in james jones 's from here to eternity ? ,what
320,what makes popcorn pop ? ,what
321,who wrote the night of the iguana ? ,who
322,what country did king gustav v reign over from 197 to 195 ? ,what
323,who painted mother and child ? ,who
324,what is the speed of the mississippi river ? ,what
325,in what area of the world was the six day war fought ? ,what
326,what is the brightest star visible from earth ? ,what
327,what film marked robert redford 's directorial debut ? ,what
328,what was mao 's second name ? ,what
329,what film or films has jude law appeared in ? ,what
330,who is the `` queen mother '' ? ,who
331,what 's the most commonly-spoken language in belgium ? ,what
332,who has more dna - a man or a woman ? ,who
333,what are maid-rites ? ,what
334,what level of government or governmental agency is responsible for dealing with racism ? ,what
335,what cocktail do you concoct with whisky and sweet vermouth ? ,what
336,what do bee hives do in cranberry bogs ? ,what
337,what caused the lynmouth floods ? ,what
338,when is the tulip festival in michigan ? ,what
339,what movie did madilyn kahn star in with gene wilder ? ,what
340,what type of bridge is the golden gate bridge ? ,what
341,what dictator has the nickname `` el maximo '' ? ,what
342,what stereo manufacturer is `` slightly ahead of its time '' ? ,what
343,what u.s. city is the queen of the pacific ? ,what
344,what tv sitcom character had the maiden name ethel potter ? ,what
345,what was the first lifesaver flavor ? ,what
346,who kept the most famous diary in the english language ? ,who
347,what spanish artist painted crucifixion ? ,what
348,what is the jewish bible called ? ,what
349,what is a firewall ? ,what
350,what spy novelist served as moscow correspondent for reuter and the times of london ? ,what
351,who was randy steven craft 's lawyer ? ,who
352,what was known as the spice island ? ,what
353,who was the first host of person to person ? ,what
354,what does the statue of liberty wear on her feet ? ,what
355,who is the superstar in rent-a-cars ? ,who
356,mccarren airport is located in what city ? ,what
357,what was the name of betty boop 's dog ? ,what
358,what fraction of a beaver 's life is spent swimming ? ,what
359,what was the bridge of san luis rey made of ? ,what
360,what do economists do ? ,what
361,what country has the largest sheep population ? ,what
362,what country is the world 's largest importer of cognac ? ,what
363,what does sids stand for ? ,what
364,what is grenada 's main commodity export ? ,what
365,what makes a clitoris sensitive ? ,what
366,what `` magic '' does mandrake employ ? ,what
367,who is the president of stanford university ? ,who
368,what city is logan airport in ? ,what
369,what is a nanometer ? ,what
370,when did cnn go on the air ? ,when
371,what is the largest city on the great lakes ? ,what
372,what is the telephone number for the university of kentucky ? ,what
373,who invented baseball ? ,who
374,what product on the market is good for hiding facial scars ? ,what
375,what city gained renown for its pea-soup fogs ? ,what
376,what does `` janelle '' mean ? ,what
377,what are the distinct physical characterstics of the arabian horse ? ,what
378,what is a fear of thunder ? ,what
379,what animal has killed the most people ? ,what
380,what russian seaport has a name meaning `` lord of the east '' ? ,what
381,when was the battle of hastings ? ,when
382,what kind of file has the extension .dbf ? ,what
383,when did muhammad live ? ,when
384,what is a wop ? ,what
385,what is the best college in the country ? ,what
386,what is viscosity ? ,what
387,what was the name of the sitcom that alyssa milano starred in with tony danza ? ,what
388,what are the nordic nations ? ,what
389,what u.s. state borders illinois to the north ? ,what
390,what is the temperature for baking peachy oat muffins ? ,what
391,what is a fear of bees ? ,what
392,what vladimir nabokov novel features professor humbert in love with a 12-year-old girl ? ,what
393,what is a green bog ? ,what
394,what does a chairbound basophobic fear ? ,what
395,what city is served by logan international airport ? ,what
396,what wrestling star became `` the incredible hulk '' ? ,what
397,what attracts tourists to reims ? ,what
398,what game do steve mcqueen and edward g. robinson play in the cincinnati kid ? ,what
399,what fastener did whitcomb judson patent in 1893 ? ,what
400,what 's an auberge in france ? ,what
401,who was the star of the 1965 broadway hit golden boy ? ,what
402,what army was founded by william booth and his wife catherine ? ,what
403,what does ribavirin consist of ? ,what
404,what is the web address of the list of e-mail addresses of members of the house of representatives ? ,what
405,what was her real name ? ,what
406,who invented the toothbrush ? ,who
407,what was the name of that popular song the creeps sang ? ,what
408,what is a fear of being alone ? ,what
409,what do you get by adding lactobacillus bulgaricus to milk ? ,what
410,what plant has the largest seed ? ,what
411,what was the only country you were allowed to drive into israel from in 1979 ? ,what
412,what 's approaching when a cyclist shouts : `` oil '' ? ,what
413,what kind of sport is often associated with hooligans ? ,what
414,what video game hero do some of his fans call chomper ? ,what
415,what is the longest word in the english language ? ,what
416,in what city or state do the most gay men live in ? ,what
417,what is `` the bear of beers '' ? ,what
418,what does the name `` justin '' mean ? ,what
419,what percentage of the body is muscle ? ,what
420,what color of dry wine should be served with veal roasts and chops ? ,what
421,what is a golf ball made of ? ,what
422,what is the amish religion ? ,what
423,what does an average daycare provider get paid in new england ? ,what
424,what was the name of the 187s irish terrorist group in pennsylvania mining areas ? ,what
425,who played the ringo kid in the 1939 film stagecoach ? ,who
426,who died 1 feet from where john f. kennedy did ? ,who
427,what is the `` coppertop '' battery ? ,what
428,what sign is the water carrier the zodiacal symbol for ? ,what
429,what animals do you find in the stock market ? ,what
430,what is color ? ,what
431,when is the site www.questions.com going to open ? ,when
432,what did shostakovich write for rostropovich ? ,what
433,what first name was nipsy russell given at birth ? ,what
434,who is the youngest of the beatles ? ,who
435,what is a jellicle cat ? ,what
436,what is bill gates of microsoft e-mail address ? ,what
437,what is the second hardest substance ? ,what
438,what russian city boasts the hermitage museum ? ,what
439,when is bastille day ? ,when
440,what makes a tornado turn ? ,what
441,what two colors are you blind to if you suffer from protanopia ? ,what
442,who is coronado ? ,who
443,what was the name of the movie that starred sharon stone and arnold schwarzenegger ? ,what
444,what is artificial intelligence ? ,what
445,what do flatfish eat ? ,what
446,who was the first holy roman emperor ? ,who
447,what can i use to remove the stubborn gummed labels from some diskettes ? ,what
448,what day of the week sees the most fatal car accidents ? ,what
449,what sport do you shag flies in ? ,what
450,what is white chocolate ? ,what
451,what kind of wine is spumante ? ,what
452,who portrayed portly criminologist carl hyatt on checkmate ? ,what
453,what does the name gina mean ? ,what
454,what is the most advanced handheld calculator in the world ? ,what
455,what is the belt of low pressure around the equator called ? ,what
456,what are shooting stars ? ,what
457,when was the first american encyclopedia published ? ,when
458,what 's the tallest building in new york city ? ,what
459,what is the motto for the state of maryland ? ,what
460,who is desmond tutu ? ,who
461,what kind of books does fodor 's publish ? ,what
462,what chapter of the bible has the most verses ? ,what
463,who is the worst us president ever ? ,who
464,what asian leader was known as the little brown saint ? ,what
465,what is the abbreviated expression for the national bureau of investigation ? ,what
466,what is the highest mountain in the world ? ,what
467,what arch can you see from the place de la concorde ? ,what
468,who sings the song `` drink to me with thine eyes '' by ben johnson ? ,who
469,who is the monarch of the united kingdom ? ,who
470,what is a fear of passing high objects ? ,what
471,what do players try to do when the music stops in a game of musical chairs ? ,what
472,what are the top ten most common girl names in the us ? ,what
473,what is the rarest coin ? ,what
474,what judith rossner novel was made into a film starring diane keaton ? ,what
475,what is a fear of parasites ? ,what
476,who does data collection in tourism ? ,who
477,what was the name of the daughter of the virginia chief powhatan that married john rolfe ? ,what
478,what is the leading pecan and peanut growing state ? ,what
479,who were the four famous founders of united artists ? ,who
480,what 2 statues did france give to other countries ? ,what
481,what are amphibians ? ,what
482,who was the only u.s. president to wear a nazi uniform ? ,who
483,woodrow wilson served as president of what university ? ,what
484,what 's the nickname of oddsmaker jimmy snyder ? ,what
485,what is the fear of being loved ? ,what
486,what was the number of people that randy steven craft was convicted of killing ? ,what
487,what was queen victoria 's title regarding india ? ,what
488,what type of food makes you fat ? ,what
489,what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ? ,what
490,what was the u.s. highway death toll in 1969 ? ,what
491,what are the shortest and the longest songs ever produced ? ,what
492,what letter is to the right of k on a typewriter keyboard ? ,what
493,what is the plural of gulf ? ,what
494,what year did the united states pass the copyright law ? ,what
495,what percentage of americans own their homes ? ,what
496,what 's the first day of the week ? ,what
497,what city was president william mckinley shot in ? ,what
498,what city has the world 's longest subway system ? ,what
499,what is bombay duck ? ,what
500,what double talking `` professor '' holds a doctorate in nothing ? ,what
501,what are the five most expensive cities in the world ? ,what
502,what 19th-century writer had a country estate on the hudson dubbed sunnyside ? ,what
503,what is a virtual ip address ? ,what
504,what was the name of the cook on rawhide ? ,what
505,what county is chicago in ? ,what
506,what is the wingspan of a condor ? ,what
507,what facial feature typically contains about 55 hairs ? ,what
508,what 's the literary term for a play on words ? ,what
509,what color were their horses ? ,what
510,what does an average daycare provider get paid in new england ? ,what
511,what author landed a 468-pound marlin without harness in the early 193 's ? ,what
512,what kind of education do i need to become a flight attendant ? ,what
513,what are the two languages of malta ? ,what
514,what happened during the blackhawk indian war of 1832 ? ,what
515,what does the latin ante mortem mean ? ,what
516,what does the name shawn mean ? ,what
517,what do you call a group of geese ? ,what
518,what is the longest place name in the u.s. ? ,what
519,what percent liked thatcher after she had been in power for a decade ? ,what
520,what was mel gibson 's first movie ? ,what
521,what horse did zorro ride ? ,what
522,what former major-league left-handed baseball pitcher was known as `` space man '' ? ,what
523,what was michelangelo 's last name ? ,what
524,who is barbara jordan ? ,who
525,who was the democratic nominee in the american presidential election ? ,who
526,what was connecticut 's first constitution called ? ,what
527,what historical event happened in dogtown in 1899 ? ,what
528,what is being done about the millennium bug ? ,what
529,what was the claim to fame of king camp gillette ? ,what
530,what is the most common kind of skin cancer in the u.s. ? ,what
531,what is olestra ? ,what
532,what asian country has a bill of rights for cows ? ,what
533,what are two plants that clothes are made from ? ,what
534,when was hurricane hugo ? ,what
535,what is the most heavily caffeinated soft drink ? ,what
536,what president-to-be was the first member of congress to enlist following the attack on pearl harbor ? ,what
537,what was the price of varian associates ' vacuum products division ? ,what
538,when was `` the great depression '' ? ,what
539,what language is mostly spoken in brazil ? ,what
540,what college produced the most winning super bowl quarterbacks ? ,what
541,what is prepared mustard ? ,what
542,what classical spanish writer warned : `` all that glitters is not gold '' ? ,what
543,what does `` antidisestablishmentarianism '' mean ? ,what
544,what actor married john f. kennedy 's sister ? ,what
545,what does a topophobic actor suffer from ? ,what
546,who fired maria ybarra from her position in san diego council ? ,who
547,what type of hunting are retrievers used for ? ,what
548,what is colin powell best known for ? ,what
549,who was the first black golfer to tee off in the masters ? ,who
550,what city is the setting for puccini 's opera la boheme ? ,what
551,what u.s. president showed a fondness for munching on bee pollen bars ? ,what
552,what is measured in curies ? ,what
553,what former president 's daughter has written a book titled murder in the white house ? ,what
554,what fictional character is known as the `` melancholy dane '' ? ,what
555,italy is the largest producer of what ? ,what
556,what longtime game show host dropped dead while jogging in central park in 1984 ? ,what
557,who were the `` filthiest people alive ? ,who
558,what infectious disease is the world 's deadliest ? ,what
559,what is spumante ? ,what
560,in what year did ireland elect its first woman president ? ,what
561,what is an isthmus ? ,what
562,what was the name of the orca that died of a fungal infection ? ,what
563,what is mississippi 's state animal ? ,what
564,what 's the origin of the word ` news ' ? ,what
565,what did dan aykroyd and john belushi quit saturday night live to become ? ,what
566,what is the real name of disc jockey `` wolfman jack '' ? ,what
567,what italian liner was hijacked in 1985 ? ,what
568,what city houses the u.s. headquarters of procter and gamble ? ,what
569,what soap was touted as being `` for people who like people '' ? ,what
570,what does nafta stand for ? ,what
571,who invented silly putty ? ,who
572,who patented the first phonograph ? ,who
573,what are some tips for building a fire in a fireplace ? ,what
574,what do manatees eat ? ,what
575,what were popular songs and types of songs in the 1920s ? ,what
576,what is november 's birthstone ? ,what
577,what is a certified nurse midwife ? ,what
578,who created private detective philip marlowe ? ,who
579,what is the origin of the expression `` tout de suite '' ? ,what
580,what is the longest english word ? ,what
581,what is the purpose of a car bra ? ,what
582,what is d.b. cooper known for ? ,what
583,who is colin powell ? ,who
584,what species is a colt ? ,what
585,what is the full name of the plo ? ,what
586,what is the smallest country in africa ? ,what
587,who coined the term nn cyberspace `` in his novel nn neuromancer '' ? ,who
588,what age followed the bronze age ? ,what
589,what is her profession ? ,what
590,what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ? ,what
591,what does the word laser mean ? ,what
592,what does the name `` anthony '' mean ? ,what
593,who was lauren bacall 's first husband ? ,who
594,what is a rhomboideus minor ? ,what
595,who created the character of scrooge ? ,who
596,what is the student population at the university of massachusetts in amherst ? ,what
597,when did the dow first reach ? ,when
598,what party was winston churchill a member of ? ,what
599,what american league baseball team 's worst finish between 1926 and 1964 was fourth ? ,what
600,what state does martha stewart live in ? ,what
601,what are the benelux countries ? ,what
602,what is a language spoken by the sioux ? ,what
603,who was the author of `` john brown 's body '' ? ,who
604,what american poet wrote : `` good fences make good neighbors '' ? ,what
605,what state in the u.s. has the most blacks ? ,what
606,what was the occupation of mandy rice-davies ? ,what
607,what is the city in which maurizio pellegrin lives called ? ,what
608,who painted the sistine chapel ? ,who
609,what breed of dog was the `` little rascals '' dog ? ,what
610,what are the living conditions in cuba ? ,what
611,what color are school buses ? ,what
612,what is the oldest website on the internet ? ,what
613,what explorers followed columbus to the americas ? ,what
614,who is actress goldie hawn 's current actor boyfriend ? ,who
615,who banned peter rose from baseball for betting on games ? ,who
616,what are the seven virtues ? ,what
617,what other name were the `` little rascals '' known as ? ,what
618,when was the san francisco fire ? ,when
619,what is a fear of food ? ,what
620,what year did the vietnam war end ? ,what
621,what are the names of richard nixon 's two daughters ? ,what
622,what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ? ,what
623,what is the chromosome number of an elephant ? ,what
624,what organization was founded by the rev. jerry falwell ? ,what
625,what 's the longest river in the world ? ,what
626,what company is being bought by yahoo and how much is the deal worth ? ,what
627,when was berlin 's brandenburg gate erected ? ,when
628,what year did germany sign its nonaggression pact with the soviet union ? ,what
629,what mountain range is traversed by the highest railroad in the world ? ,what
630,who was nicknamed the little corporal ? ,who
631,what 's the sacred river of india ? ,what
632,what is stefan edberg 's native country ? ,what
633,what is the only gland in humans that can regenerate itself ? ,what
634,what astronomical phenomenon takes place in jan. 1999 ? ,what
635,what information can you get me on fairground park in st. louis ,what
636,what was american folk hero john chapman 's nickname ? ,what
